1.0 0.33569380871451382E+001 0.50288712365046222E-002 0.28891496572191135E-015 0.65027157884132793E-018
2.0 0.36197559934153678E+001 0.12071711996536586E-001 0.32226077230436234E-015 0.88072448962107267E-018
3.0 0.36275639869260359E+001 0.32690815202513824E-002 0.32363565270233352E-015 0.48198012568841113E-018
4.0 0.36301952894364367E+001 0.37695496945853086E-002 0.32424492633955003E-015 0.53525492368072638E-018
5.0 0.36264276237847630E+001 0.29105596683141784E-002 0.32356023893437743E-015 0.40330494292085295E-018
6.0 0.36424217483146109E+001 0.40556050394125152E-002 0.32575078841486055E-015 0.63197253353991006E-018
7.0 0.36313454938649614E+001 0.35560129863387493E-002 0.32422998202844197E-015 0.54110906305725710E-018
8.0 0.36347823943439841E+001 0.54995901373512167E-002 0.32485794558799546E-015 0.76385654406614070E-018
9.0 0.36294548179179280E+001 0.37587844276040158E-002 0.32396797701371418E-015 0.56938018803447818E-018
10.0 0.36348504252742373E+001 0.37667916241562803E-002 0.32421261917904983E-015 0.46116431564415622E-018
