1.0 -0.13443005430512910E+002 0.15731089774505933E-002
2.0 -0.13603699380324557E+002 0.14955149367278490E-002
3.0 -0.13617583614368540E+002 0.15124159523354859E-002
4.0 -0.13620542243991871E+002 0.18031878850731785E-002
5.0 -0.13619104480910817E+002 0.13081319739141728E-002
6.0 -0.13623193625134622E+002 0.15136684213033808E-002
7.0 -0.13620041919436757E+002 0.14674762481373910E-002
8.0 -0.13618802975826700E+002 0.15669979206753900E-002
9.0 -0.13620529484123541E+002 0.15159848686766616E-002
10.0 -0.13622295243922453E+002 0.15193803925289526E-002
