1.0 0.29248524819639967E+001 0.24725028745399310E-002 0.23516880694034534E-015 0.33296891688335586E-018
2.0 0.33568254501733694E+001 0.36397065340302882E-002 0.29055299563995011E-015 0.55785649750555892E-018
3.0 0.35284214716665825E+001 0.39489366067050856E-002 0.31165202358525777E-015 0.48021675126105700E-018
4.0 0.35895925499681880E+001 0.47664888118972735E-002 0.31966252574320414E-015 0.77245388366403854E-018
5.0 0.36218770684911719E+001 0.69939352231920852E-002 0.32350015403180636E-015 0.10767568949236807E-017
6.0 0.36173470641374603E+001 0.30267621650836266E-002 0.32294006439998881E-015 0.46572706056217497E-018
7.0 0.36184233561310624E+001 0.31512304472407996E-002 0.32273443703211704E-015 0.42519064380454425E-018
8.0 0.36177546269011467E+001 0.30443437361176327E-002 0.32262818628840043E-015 0.44019350522970394E-018
9.0 0.36313636337636801E+001 0.71939564400467964E-002 0.32407669294238391E-015 0.65723793141261454E-018
10.0 0.36281379317524469E+001 0.51184132098470525E-002 0.32370868092611908E-015 0.64545759028619920E-018
