1.0 -0.13184031500799868E+002 0.12373114845566668E-002
2.0 -0.13465416697317869E+002 0.13890528829163227E-002
3.0 -0.13571854010100019E+002 0.15644306454745290E-002
4.0 -0.13603686231419868E+002 0.13873229975305444E-002
5.0 -0.13617751907320832E+002 0.18737814128762626E-002
6.0 -0.13618416013190220E+002 0.14739119159198199E-002
7.0 -0.13618424185085415E+002 0.13153137013890398E-002
8.0 -0.13617342323633792E+002 0.15405590332160971E-002
9.0 -0.13620445703888107E+002 0.15146709720972483E-002
10.0 -0.13620182365136467E+002 0.17051748184374826E-002
